Teaching,Creative Work,Service
Drama 100,Drama 100,Edinburg Fringe
Drama 125 - Introduction to Acting I - Majors,Drama 125 - Introduction to Acting I - Majors,The Droll
Drama 121 - The Actor's Speech,Drama 121 - The Actor's Speech,Admissions Committee
Drama 126 - Introduction to Acting II - Majors,Drama 126 - Introduction to Acting II - Majors,
Drama 221 - Voice/Verse I,Drama 221 - Voice/Verse I,Acting Area Program Coordinator
Drama 222 - Voice/Verse II,Drama 222 - Voice/Verse II,VPA T&P Committee
Drama 321 - Rotating Topics in Advanced Voice Verse,Drama 321 - Rotating Topics in Advanced Voice Verse,Department T&P Committee
Co-productions,Co-productions,University Senate
Collaboration with Rose Ruford College,Collaboration with Rose Ruford College,Collaboration with Rose Ruford College
Edinburg Fringe,Edinburg Fringe,
The Droll,The Droll,
Admissions Committee,Equity Performance Works,
